date,open,high,low,close,volume
2023-04-15,0.3781,0.3816,0.37,0.375,116472519.0
2023-04-16,0.375,0.3849,0.3705,0.3783,112926426.0
2023-04-17,0.3782,0.3791,0.3515,0.3589,138127020.0
2023-04-18,0.3589,0.376,0.3531,0.3666,113893054.0
2023-04-19,0.3666,0.3688,0.312,0.321,225937542.0
2023-04-20,0.3209,0.3446,0.3102,0.3268,274761116.0
2023-04-21,0.3267,0.3333,0.2878,0.2894,249885901.0
2023-04-22,0.2894,0.305,0.2816,0.2969,125974019.0
2023-04-23,0.2969,0.2969,0.2726,0.2865,115932262.0
2023-04-24,0.2865,0.3017,0.2813,0.2953,162112671.0
2023-04-25,0.2953,0.3194,0.2758,0.3156,146685715.0
2023-04-26,0.3156,0.348,0.2864,0.3199,329389101.0
2023-04-27,0.32,0.3409,0.3102,0.3323,217956847.0
2023-04-28,0.3322,0.3479,0.3215,0.3363,180867576.0
2023-04-29,0.3363,0.3363,0.3215,0.3275,85842046.0
2023-04-30,0.3275,0.3345,0.3166,0.319,80784166.0
2023-05-01,0.3191,0.3216,0.2968,0.3054,126311264.0
2023-05-02,0.3053,0.3146,0.3022,0.3108,72818074.0
2023-05-03,0.3109,0.3318,0.2991,0.3256,125364503.0
2023-05-04,0.3256,0.3372,0.3218,0.3238,108696902.0
2023-05-05,0.3239,0.3331,0.3082,0.3217,84014786.0
2023-05-06,0.3217,0.3238,0.2901,0.2929,109530341.0
2023-05-07,0.2928,0.2993,0.2855,0.2908,72939951.0
2023-05-08,0.2908,0.2936,0.2446,0.2506,165003011.0
2023-05-09,0.2505,0.2685,0.2463,0.2577,112950988.0
2023-05-10,0.2576,0.2761,0.2474,0.2717,176528268.0
2023-05-11,0.2716,0.2717,0.2404,0.2551,129150005.0
2023-05-12,0.255,0.2573,0.227,0.2488,183702956.0
2023-05-13,0.2486,0.2577,0.246,0.2516,84214258.0
2023-05-14,0.2515,0.2859,0.2449,0.2796,144371195.0
2023-05-15,0.2795,0.2932,0.2708,0.2859,180230013.0
2023-05-16,0.2859,0.33,0.2817,0.3137,318462717.0
2023-05-17,0.3137,0.3198,0.2941,0.3009,187787737.0
2023-05-18,0.301,0.309,0.2851,0.2937,159657076.0
2023-05-19,0.2936,0.3143,0.292,0.2997,167502380.0
2023-05-20,0.2995,0.3038,0.2929,0.2998,80739626.0
2023-05-21,0.3,0.3118,0.2909,0.2964,126523276.0
2023-05-22,0.2963,0.331,0.2836,0.3222,299717184.0
2023-05-23,0.3221,0.3488,0.3124,0.3157,252851235.0
2023-05-24,0.3156,0.3237,0.3,0.3105,242228569.0
2023-05-25,0.3105,0.3128,0.3008,0.3081,113660016.0
2023-05-26,0.3078,0.31,0.3022,0.3039,64099819.0
2023-05-27,0.3039,0.3264,0.3,0.3184,130133670.0
2023-05-28,0.3184,0.3404,0.3168,0.329,134946427.0
2023-05-29,0.3291,0.3337,0.3088,0.3127,100881874.0
2023-05-30,0.3127,0.3231,0.305,0.3193,83774114.0
