date,open,high,low,close,volume
2023-04-15,45.09,45.7,44.28,45.09,56262.342
2023-04-16,45.08,46.9,44.02,46.4,74056.733
2023-04-17,46.4,46.57,44.39,45.49,64049.658
2023-04-18,45.49,46.87,45.24,46.19,66766.222
2023-04-19,46.18,46.24,40.39,41.58,99366.263
2023-04-20,41.59,41.95,39.69,40.49,52458.882
2023-04-21,40.47,41.24,38.1,38.73,75515.965
2023-04-22,38.7,40.36,38.46,40.09,35291.204
2023-04-23,40.09,40.21,38.43,39.58,40439.578
2023-04-24,39.55,40.39,38.92,39.74,26940.005
2023-04-25,39.73,40.46,38.53,40.28,29255.908
2023-04-26,40.29,41.98,37.48,39.64,74930.433
2023-04-27,39.64,41.41,39.49,40.84,68539.935
2023-04-28,40.87,40.91,39.7,40.71,28724.61
2023-04-29,40.72,42.57,40.62,42.56,39935.695
2023-04-30,42.57,42.61,41.32,41.5,34950.9
2023-05-01,41.55,41.77,39.41,39.99,32233.455
2023-05-02,39.97,40.18,39.34,39.83,24303.93
2023-05-03,39.87,40.99,39.0,40.68,41173.718
2023-05-04,40.69,40.78,39.76,39.92,20954.1
2023-05-05,39.92,41.14,39.5,40.75,25878.161
2023-05-06,40.73,41.09,38.15,39.33,30095.938
2023-05-07,39.36,39.46,38.49,38.7,18295.062
2023-05-08,38.69,38.98,34.68,36.49,57914.079
2023-05-09,36.47,36.8,35.9,36.57,31943.091
2023-05-10,36.57,37.42,34.83,36.62,67390.416
2023-05-11,36.64,36.65,33.92,35.43,68796.068
2023-05-12,35.43,35.54,33.54,35.01,148317.51
2023-05-13,35.04,35.06,34.18,34.48,59229.46
2023-05-14,34.49,35.1,33.96,34.84,25928.996
2023-05-15,34.84,35.49,34.26,34.89,33364.987
2023-05-16,34.9,35.62,34.5,35.07,35722.876
2023-05-17,35.14,36.18,34.61,36.1,42741.752
2023-05-18,36.1,36.27,34.88,35.54,42355.177
2023-05-19,35.55,36.06,35.33,35.89,38991.207
2023-05-20,35.94,36.03,35.52,35.76,15811.066
2023-05-21,35.77,35.86,34.24,34.58,21472.016
2023-05-22,34.56,35.43,34.03,35.21,14211.372
2023-05-23,35.23,36.01,35.07,35.54,14614.746
2023-05-24,35.55,35.55,33.65,34.67,34068.198
2023-05-25,34.7,34.82,33.64,33.91,25892.649
2023-05-26,33.9,34.49,33.25,34.34,49510.97
2023-05-27,34.34,35.25,34.21,35.08,31981.628
2023-05-28,35.09,36.84,34.94,36.44,29662.962
2023-05-29,36.43,37.04,36.02,36.87,23377.485
2023-05-30,36.86,37.11,36.22,36.43,22903.827
2023-05-31,36.41,36.64,35.43,35.84,29046.995
2023-06-01,35.86,36.01,35.04,35.37,15189.322
2023-06-02,35.36,36.42,34.92,35.67,19594.129
2023-06-03,35.69,35.96,35.33,35.46,11537.741
2023-06-04,35.46,36.02,35.17,35.46,13355.732
2023-06-05,35.46,35.51,30.5,32.55,58888.198
2023-06-06,32.54,34.24,32.39,33.78,37333.114
2023-06-07,33.78,33.8,31.54,32.1,46067.049
2023-06-08,32.13,32.85,31.62,31.97,28254.053
2023-06-09,31.97,32.75,31.71,32.24,18598.516
2023-06-10,32.26,32.26,23.27,26.6,214906.251
2023-06-11,26.62,26.74,25.78,26.2,39626.318
2023-06-12,26.19,28.84,25.53,28.21,84820.785
2023-06-13,28.21,28.42,27.0,27.22,43678.581
2023-06-14,27.23,28.14,26.07,26.47,60207.434
2023-06-15,26.48,27.34,26.08,27.03,45632.593
2023-06-16,27.04,27.86,26.66,27.81,37362.083
2023-06-17,27.83,28.98,27.64,28.64,38432.459
2023-06-18,28.66,28.87,27.84,27.93,26042.054
2023-06-19,27.95,28.58,27.66,28.47,37148.551
2023-06-20,28.46,29.07,27.55,28.83,46783.975
2023-06-21,28.84,30.02,28.72,29.86,69761.71
2023-06-22,29.86,30.89,29.2,29.49,57897.833
2023-06-23,29.5,31.36,29.47,30.56,37705.211
2023-06-24,30.57,31.13,29.8,30.51,39587.008
2023-06-25,30.52,43.5,30.48,37.79,1185389.754
2023-06-26,37.8,38.73,35.17,35.68,297050.488
2023-06-27,35.69,45.11,35.69,42.1,768453.798
2023-06-28,42.11,44.05,38.8,40.21,462467.025
2023-06-29,40.24,55.33,38.68,50.17,1089944.77
2023-06-30,50.16,59.5,47.77,55.87,1338420.835
2023-07-01,55.88,56.05,51.34,52.46,324567.24
2023-07-02,52.46,70.74,50.86,68.41,980126.882
2023-07-03,68.41,69.82,60.46,63.61,778499.339
2023-07-04,63.61,70.94,61.0,62.58,592939.581
2023-07-05,62.58,66.0,54.83,59.41,618322.272
2023-07-06,59.41,63.98,56.36,56.58,424724.284
2023-07-07,56.55,59.52,54.08,55.65,341486.756
2023-07-08,55.64,57.5,52.78,53.95,152980.321
2023-07-09,53.94,63.12,51.81,60.46,508112.874
2023-07-10,60.49,63.0,56.95,59.36,471640.547
2023-07-11,59.43,68.34,58.65,66.46,703127.278
2023-07-12,66.47,74.49,64.63,70.9,394046.884
2023-07-13,70.98,73.1,67.58,69.62,646791.234
2023-07-14,69.61,72.4,66.01,66.58,401110.457
2023-07-15,66.61,78.44,65.16,76.17,696898.201
2023-07-16,76.17,85.9,74.23,77.53,726772.671
2023-07-17,77.49,79.05,70.94,75.96,441846.392
2023-07-18,76.05,76.77,68.96,71.24,291903.029
2023-07-19,71.23,74.15,68.97,69.32,196295.572
2023-07-20,69.32,74.88,68.8,73.41,317605.08
2023-07-21,73.4,76.83,70.84,71.08,252827.563
2023-07-22,71.12,71.97,69.3,70.53,101254.51
2023-07-23,70.53,72.94,69.7,70.16,142848.861
2023-07-24,70.15,70.15,62.58,63.45,323832.007
2023-07-25,63.44,63.85,58.29,62.24,750817.978
2023-07-26,62.24,73.49,62.22,70.76,779746.597
2023-07-27,70.77,74.5,69.57,70.23,320294.765
2023-07-28,70.24,72.59,69.21,72.53,163195.371
2023-07-29,72.53,74.91,71.51,72.24,225105.569
2023-07-30,72.25,74.04,70.68,70.8,148786.817
2023-07-31,70.79,79.76,65.49,66.35,908602.271
