date,open,high,low,close,volume
2023-04-15,0.6397,0.6481,0.6274,0.6387,16443832.0
2023-04-16,0.6389,0.6496,0.6286,0.6441,19217366.0
2023-04-17,0.6441,0.6978,0.6259,0.6932,59392023.0
2023-04-18,0.6933,0.7,0.6682,0.6869,36845776.0
2023-04-19,0.6868,0.6879,0.59,0.6163,37904914.0
2023-04-20,0.6158,0.6225,0.58,0.5914,23920024.0
2023-04-21,0.5913,0.595,0.5534,0.5625,19183079.0
2023-04-22,0.5624,0.5721,0.555,0.5713,12125997.0
2023-04-23,0.5712,0.5716,0.5435,0.5592,13729389.0
2023-04-24,0.5592,0.5681,0.5423,0.5543,13978316.0
2023-04-25,0.5541,0.5648,0.5322,0.5608,19588456.0
2023-04-26,0.5609,0.5764,0.5162,0.5421,24943406.0
2023-04-27,0.5422,0.5632,0.5355,0.5556,16602107.0
2023-04-28,0.5555,0.5576,0.5388,0.5507,9315847.0
2023-04-29,0.5507,0.5569,0.5458,0.5545,6404026.0
2023-04-30,0.5545,0.5563,0.5383,0.5429,8338133.0
2023-05-01,0.5428,0.5522,0.5175,0.5267,10464424.0
2023-05-02,0.5264,0.5335,0.5207,0.5317,6918794.0
2023-05-03,0.5318,0.5468,0.5154,0.5443,10423264.0
2023-05-04,0.5443,0.5452,0.5306,0.5328,6226869.0
2023-05-05,0.5327,0.5403,0.5237,0.5384,9009238.0
2023-05-06,0.5385,0.5423,0.5081,0.5165,7629231.0
2023-05-07,0.5164,0.5197,0.5056,0.5085,5860204.0
2023-05-08,0.5085,0.5111,0.4568,0.4727,19101522.0
2023-05-09,0.4728,0.4779,0.4611,0.4672,13882080.0
2023-05-10,0.4672,0.4818,0.4504,0.4767,16064725.0
2023-05-11,0.4767,0.4771,0.4434,0.4506,16494866.0
2023-05-12,0.4506,0.4557,0.4339,0.4553,15533420.0
2023-05-13,0.4554,0.4565,0.448,0.4509,7227891.0
2023-05-14,0.4509,0.4616,0.4458,0.4567,5663167.0
2023-05-15,0.4566,0.4746,0.4495,0.4677,9125605.0
2023-05-16,0.4675,0.4834,0.4609,0.4834,14427542.0
2023-05-17,0.4834,0.538,0.4801,0.5087,56949181.0
2023-05-18,0.5089,0.5147,0.4856,0.5016,20137834.0
2023-05-19,0.5016,0.5062,0.4891,0.4918,11221770.0
2023-05-20,0.4915,0.494,0.4812,0.4909,7661389.0
2023-05-21,0.491,0.4918,0.4761,0.4796,9757979.0
2023-05-22,0.4795,0.4836,0.4677,0.4807,11779802.0
2023-05-23,0.4808,0.4924,0.4753,0.4783,8855454.0
2023-05-24,0.4784,0.4785,0.45,0.4551,13733499.0
2023-05-25,0.4552,0.4736,0.4411,0.4657,16918857.0
2023-05-26,0.4656,0.4689,0.4568,0.4646,11794322.0
2023-05-27,0.4646,0.4747,0.4611,0.4737,8613466.0
2023-05-28,0.4737,0.4955,0.4719,0.4878,16125801.0
2023-05-29,0.4885,0.4913,0.4729,0.4779,10522714.0
2023-05-30,0.4782,0.4853,0.474,0.4799,10241367.0
2023-05-31,0.4798,0.4861,0.4565,0.4631,13854247.0
2023-06-01,0.4631,0.481,0.456,0.4726,19155559.0
2023-06-02,0.4722,0.4876,0.4646,0.4844,13407778.0
2023-06-03,0.4845,0.4904,0.4787,0.4858,10338041.0
2023-06-04,0.4859,0.5202,0.4811,0.5044,22363220.0
2023-06-05,0.5044,0.532,0.4488,0.4573,73680301.0
2023-06-06,0.4574,0.47,0.4307,0.4615,41114254.0
2023-06-07,0.4617,0.4617,0.414,0.4196,23504016.0
2023-06-08,0.4195,0.4226,0.4064,0.4168,15557462.0
2023-06-09,0.4169,0.4243,0.4017,0.4051,11188198.0
2023-06-10,0.4052,0.4059,0.305,0.3455,52650564.0
2023-06-11,0.3454,0.3505,0.336,0.3404,15262678.0
2023-06-12,0.3403,0.3456,0.328,0.3429,13074426.0
2023-06-13,0.343,0.3592,0.3375,0.3421,13843602.0
2023-06-14,0.3419,0.3515,0.3251,0.334,14721970.0
2023-06-15,0.3339,0.3377,0.3224,0.3334,12190558.0
2023-06-16,0.3333,0.3422,0.3267,0.3357,9825600.0
2023-06-17,0.3358,0.3489,0.334,0.3407,8660339.0
2023-06-18,0.3406,0.3446,0.3314,0.336,8985258.0
2023-06-19,0.336,0.3422,0.3307,0.339,9051550.0
2023-06-20,0.339,0.3511,0.3292,0.351,13721901.0
2023-06-21,0.3511,0.3762,0.3492,0.3724,21012582.0
2023-06-22,0.3723,0.3914,0.3647,0.3678,17787677.0
2023-06-23,0.3678,0.3969,0.3676,0.3894,23365739.0
2023-06-24,0.3895,0.4333,0.3807,0.4015,44293077.0
2023-06-25,0.4016,0.4122,0.3887,0.3925,20844592.0
2023-06-26,0.3925,0.3934,0.371,0.3777,16604083.0
2023-06-27,0.3781,0.3943,0.3771,0.3897,12686690.0
2023-06-28,0.3897,0.3902,0.3512,0.3603,16465128.0
2023-06-29,0.3605,0.3733,0.359,0.3678,12517285.0
2023-06-30,0.3678,0.3929,0.3532,0.3848,29556631.0
2023-07-01,0.385,0.4225,0.3819,0.4191,41090680.0
2023-07-02,0.4191,0.4198,0.3943,0.406,20160518.0
2023-07-03,0.406,0.4126,0.3993,0.408,16785130.0
2023-07-04,0.408,0.4165,0.393,0.397,16167125.0
2023-07-05,0.3971,0.4032,0.3776,0.3848,14105384.0
2023-07-06,0.385,0.402,0.3715,0.3722,16482576.0
2023-07-07,0.3719,0.384,0.3677,0.382,10954205.0
2023-07-08,0.3822,0.3901,0.3793,0.3871,10966068.0
2023-07-09,0.387,0.3903,0.3784,0.3802,7725726.0
2023-07-10,0.3803,0.3931,0.3692,0.384,12909778.0
2023-07-11,0.3841,0.3924,0.38,0.3914,10952140.0
2023-07-12,0.3912,0.3998,0.3866,0.3939,12311433.0
2023-07-13,0.3939,0.4434,0.3847,0.4426,33601284.0
2023-07-14,0.4425,0.4479,0.3993,0.4139,31630309.0
2023-07-15,0.4138,0.4252,0.4041,0.4185,9392388.0
2023-07-16,0.4185,0.4268,0.4036,0.4065,13314833.0
2023-07-17,0.4062,0.4203,0.3998,0.4174,15232218.0
2023-07-18,0.4174,0.4245,0.3923,0.4005,15082162.0
2023-07-19,0.4005,0.4083,0.3963,0.3996,14660801.0
2023-07-20,0.3995,0.4133,0.3944,0.4012,16795416.0
2023-07-21,0.4012,0.4047,0.3965,0.4014,12220019.0
2023-07-22,0.4014,0.4073,0.3923,0.3974,9467378.0
2023-07-23,0.3974,0.4104,0.3945,0.4056,10849330.0
2023-07-24,0.4056,0.4085,0.382,0.3871,17001017.0
2023-07-25,0.3871,0.3883,0.3799,0.3861,10711290.0
2023-07-26,0.3862,0.3932,0.3807,0.3892,10454645.0
2023-07-27,0.3893,0.3945,0.3812,0.3848,9070368.0
2023-07-28,0.3847,0.3919,0.3813,0.389,6181665.0
2023-07-29,0.389,0.392,0.3865,0.3914,5406370.0
2023-07-30,0.3916,0.3994,0.3803,0.3883,10305379.0
2023-07-31,0.3883,0.3927,0.3763,0.3823,7337934.0
2023-08-01,0.3824,0.3878,0.3718,0.3857,12065469.0
2023-08-02,0.3857,0.3872,0.3705,0.3733,8721306.0
2023-08-03,0.3733,0.3758,0.3656,0.3675,6925962.0
2023-08-04,0.3675,0.3708,0.3586,0.3643,7555537.0
2023-08-05,0.3642,0.3702,0.36,0.3697,5954625.0
2023-08-06,0.3696,0.3764,0.3691,0.3745,10717549.0
2023-08-07,0.3745,0.381,0.3569,0.3668,11672166.0
2023-08-08,0.3668,0.3756,0.362,0.3703,7507069.0
2023-08-09,0.3703,0.3742,0.3644,0.3681,8019560.0
2023-08-10,0.3682,0.3719,0.3658,0.3669,4786193.0
2023-08-11,0.3672,0.3714,0.365,0.37,3878625.0
2023-08-12,0.37,0.3728,0.3676,0.3708,4273171.0
2023-08-13,0.3708,0.3722,0.3646,0.3658,5828163.0
2023-08-14,0.3657,0.3688,0.362,0.3654,9454576.0
2023-08-15,0.3654,0.3672,0.3305,0.3454,13955631.0
2023-08-16,0.3451,0.3459,0.32,0.3283,18353078.0
2023-08-17,0.3284,0.3355,0.2723,0.2958,24241676.0
2023-08-18,0.2958,0.3104,0.2946,0.3061,15511117.0
2023-08-19,0.306,0.3094,0.3031,0.3083,7208796.0
2023-08-20,0.3085,0.3115,0.304,0.3085,6759755.0
2023-08-21,0.3085,0.3096,0.2937,0.3008,9861128.0
2023-08-22,0.3011,0.307,0.2895,0.3046,15672309.0
2023-08-23,0.3045,0.3148,0.2994,0.3115,11480661.0
2023-08-24,0.3116,0.3145,0.3005,0.3055,11664483.0
2023-08-25,0.3055,0.3069,0.298,0.3058,9373479.0
2023-08-26,0.3057,0.3088,0.2984,0.2992,8107218.0
2023-08-27,0.2992,0.3026,0.2969,0.3001,4830135.0
2023-08-28,0.3001,0.3043,0.2914,0.3011,7466792.0
2023-08-29,0.3012,0.3175,0.2911,0.3142,21533806.0
2023-08-30,0.3142,0.3166,0.3034,0.3052,8495685.0
2023-08-31,0.3053,0.3071,0.2874,0.2944,14619452.0
2023-09-01,0.2944,0.297,0.2872,0.293,6348516.0
2023-09-02,0.293,0.2947,0.2867,0.2923,4415716.0
2023-09-03,0.2922,0.2949,0.2869,0.2904,3959576.0
2023-09-04,0.2906,0.2968,0.2889,0.2921,8928819.0
2023-09-05,0.292,0.2954,0.2892,0.293,13302662.0
2023-09-06,0.2933,0.2993,0.2873,0.2954,13387350.0
2023-09-07,0.2955,0.3004,0.2921,0.2984,8226793.0
2023-09-08,0.2986,0.3017,0.2898,0.2934,6420426.0
2023-09-09,0.2934,0.2963,0.2915,0.2938,3909465.0
2023-09-10,0.2937,0.2938,0.2777,0.2816,10763137.0
2023-09-11,0.2815,0.2835,0.2649,0.2694,30540590.8
2023-09-12,0.2694,0.2827,0.2681,0.2691,17063058.0
2023-09-13,0.2693,0.2813,0.2673,0.2803,12416144.0
2023-09-14,0.2803,0.2972,0.2793,0.2901,21562135.0
2023-09-15,0.2901,0.2976,0.2871,0.2961,9922667.0
2023-09-16,0.2961,0.3036,0.2957,0.3014,10421491.0
2023-09-17,0.3015,0.3016,0.285,0.2888,7385161.0
2023-09-18,0.2889,0.2983,0.2852,0.2924,8486167.0
2023-09-19,0.2924,0.3014,0.2912,0.2982,14973039.0
2023-09-20,0.2982,0.302,0.2917,0.2999,10459718.0
2023-09-21,0.3001,0.3041,0.2906,0.2932,9533925.0
2023-09-22,0.2931,0.2958,0.2896,0.2942,8622601.0
2023-09-23,0.2943,0.2976,0.2921,0.2938,4689590.0
2023-09-24,0.2938,0.303,0.2919,0.2933,16662339.0
2023-09-25,0.2934,0.3021,0.2909,0.2987,9452520.0
2023-09-26,0.299,0.2995,0.2927,0.2972,6320813.0
2023-09-27,0.2972,0.3024,0.2911,0.2934,15134866.0
2023-09-28,0.2933,0.3,0.2923,0.2991,34370245.0
2023-09-29,0.299,0.325,0.2981,0.3158,22187794.0
2023-09-30,0.3157,0.3162,0.306,0.3089,14288572.0
2023-10-01,0.3089,0.3275,0.3078,0.3235,11678588.0
2023-10-02,0.3237,0.3262,0.3011,0.311,14145845.0
2023-10-03,0.311,0.3132,0.3013,0.3017,6980658.0
2023-10-04,0.3018,0.3018,0.2872,0.2974,10146283.0
2023-10-05,0.2973,0.2999,0.2901,0.2932,6022487.0
2023-10-06,0.2933,0.3018,0.2931,0.3006,4827840.0
2023-10-07,0.3006,0.3021,0.2972,0.2989,2527405.0
2023-10-08,0.2991,0.2997,0.2941,0.297,4345259.0
2023-10-09,0.297,0.2984,0.2739,0.2813,12447624.0
2023-10-10,0.2814,0.2823,0.275,0.2779,5576438.0
2023-10-11,0.2778,0.2799,0.2704,0.2787,5739985.0
2023-10-12,0.2786,0.2798,0.273,0.2786,5697506.0
2023-10-13,0.2785,0.2852,0.2778,0.2811,5059922.0
2023-10-14,0.2812,0.2876,0.2807,0.2838,7159772.0
2023-10-15,0.2838,0.289,0.2826,0.2854,4938248.0
2023-10-16,0.2854,0.3001,0.2852,0.2884,17670374.0
2023-10-17,0.2884,0.2885,0.2744,0.2809,10666916.0
2023-10-18,0.2809,0.2848,0.2762,0.2765,6005834.0
2023-10-19,0.2765,0.2801,0.2705,0.2782,5686920.0
2023-10-20,0.2783,0.2909,0.2762,0.2866,10725754.0
2023-10-21,0.2866,0.3032,0.2864,0.2987,13861515.0
2023-10-22,0.2987,0.3055,0.2931,0.3052,40073895.0
2023-10-23,0.3053,0.3265,0.3024,0.3263,40442771.0
2023-10-24,0.3265,0.3556,0.3232,0.3509,71441277.0
2023-10-25,0.3508,0.36,0.3362,0.3471,41462361.0
2023-10-26,0.3471,0.3664,0.3333,0.3525,57588709.0
2023-10-27,0.3525,0.3527,0.3346,0.3397,26265887.0
2023-10-28,0.3397,0.3539,0.3393,0.3511,10704858.0
2023-10-29,0.351,0.3896,0.3431,0.3797,40115190.0
2023-10-30,0.3797,0.3897,0.3656,0.3778,26045201.0
2023-10-31,0.3778,0.3807,0.349,0.3635,19529791.0
2023-11-01,0.3634,0.3809,0.3515,0.3802,24786024.0
2023-11-02,0.3802,0.4204,0.3802,0.403,61102426.0
2023-11-03,0.4029,0.4032,0.3856,0.3995,19076156.0
2023-11-04,0.3996,0.4095,0.3935,0.4068,14093565.0
2023-11-05,0.4068,0.421,0.3912,0.4035,24264515.0
2023-11-06,0.4035,0.43,0.4005,0.4236,36228409.0
2023-11-07,0.4236,0.435,0.3989,0.4166,28251056.0
2023-11-08,0.4168,0.4301,0.4094,0.4266,15937794.0
2023-11-09,0.4266,0.4481,0.376,0.4178,41528423.0
2023-11-10,0.418,0.4382,0.4105,0.4336,32019501.0
2023-11-11,0.4337,0.5064,0.4131,0.4699,69665244.0
2023-11-12,0.47,0.4772,0.446,0.4663,31313332.0
2023-11-13,0.4663,0.4883,0.4435,0.4446,44340672.0
2023-11-14,0.4447,0.4498,0.402,0.4265,39238264.0
2023-11-15,0.4263,0.4543,0.4202,0.4517,25175840.0
2023-11-16,0.4518,0.4616,0.4209,0.4307,26055739.0
2023-11-17,0.4305,0.444,0.4045,0.4271,19149544.0
2023-11-18,0.4271,0.4272,0.3952,0.4175,14958803.0
2023-11-19,0.4175,0.435,0.407,0.4298,11889598.0
2023-11-20,0.4299,0.4362,0.4156,0.4204,20684919.0
2023-11-21,0.4203,0.4281,0.3739,0.3761,29690638.0
2023-11-22,0.3759,0.409,0.3745,0.4051,16809392.0
2023-11-23,0.405,0.4098,0.3982,0.4054,16615640.0
2023-11-24,0.4055,0.4174,0.4036,0.4134,16804757.0
2023-11-25,0.4133,0.4747,0.4094,0.4646,83675499.0
2023-11-26,0.4646,0.4707,0.4396,0.4503,35944230.0
2023-11-27,0.4503,0.4671,0.4271,0.4408,27993353.0
2023-11-28,0.4408,0.4446,0.4221,0.4442,18405058.0
2023-11-29,0.4443,0.445,0.4311,0.441,13789402.0
2023-11-30,0.441,0.4421,0.4291,0.4318,8734511.0
2023-12-01,0.432,0.4413,0.4275,0.4394,9768818.0
2023-12-02,0.4396,0.4604,0.437,0.4578,13901250.0
2023-12-03,0.4578,0.4605,0.4441,0.4505,15346357.0
2023-12-04,0.4505,0.4708,0.42,0.4525,35880195.0
2023-12-05,0.4526,0.48,0.4497,0.47,39971086.0
2023-12-06,0.4702,0.495,0.4577,0.4731,46089021.0
2023-12-07,0.4733,0.5032,0.462,0.5029,41779654.0
2023-12-08,0.5027,0.5235,0.485,0.5199,26288111.0
2023-12-09,0.5199,0.5522,0.5199,0.5333,40062561.0
2023-12-10,0.5333,0.575,0.519,0.5338,57204809.0
2023-12-11,0.534,0.5342,0.4531,0.4896,87365055.0
2023-12-12,0.4895,0.4979,0.4788,0.495,24301713.0
2023-12-13,0.4949,0.5043,0.4596,0.5025,35099523.0
2023-12-14,0.5026,0.5172,0.4807,0.5138,21829219.0
2023-12-15,0.5137,0.5141,0.4825,0.4845,17061258.0
2023-12-16,0.4845,0.5064,0.4779,0.5031,18407573.0
2023-12-17,0.5031,0.5107,0.48,0.4817,16254026.0
2023-12-18,0.4817,0.4857,0.444,0.4757,22319332.0
2023-12-19,0.4757,0.4883,0.4684,0.4751,14105010.0
2023-12-20,0.475,0.5112,0.4695,0.5016,20291946.0
2023-12-21,0.5018,0.5222,0.494,0.5218,22681305.0
2023-12-22,0.522,0.5284,0.5075,0.5275,18469483.0
2023-12-23,0.5274,0.5302,0.5092,0.5143,14333510.0
2023-12-24,0.5143,0.5544,0.5043,0.5403,40246838.0
2023-12-25,0.5406,0.5725,0.5219,0.5607,50933353.0
2023-12-26,0.5608,0.6065,0.5123,0.5592,63097301.0
2023-12-27,0.5597,0.5636,0.5305,0.555,23898394.0
2023-12-28,0.5552,0.5642,0.5204,0.5289,18862355.0
2023-12-29,0.5288,0.5392,0.502,0.5152,18585124.0
2023-12-30,0.515,0.5209,0.5044,0.5154,10797309.0
2023-12-31,0.5154,0.5321,0.5044,0.5207,11995985.0
2024-01-01,0.5208,0.5407,0.5155,0.5393,15757702.0
2024-01-02,0.5395,0.5512,0.5225,0.529,14011674.0
2024-01-03,0.529,0.5384,0.415,0.4676,42621259.0
2024-01-04,0.4676,0.4789,0.458,0.4749,19173695.0
2024-01-05,0.4755,0.4848,0.4388,0.4613,24388284.0
2024-01-06,0.4611,0.4615,0.4269,0.4532,13562239.0
2024-01-07,0.4533,0.464,0.4216,0.4266,11868302.0
2024-01-08,0.4266,0.4544,0.3945,0.4533,20627234.0
2024-01-09,0.4532,0.4544,0.4159,0.4339,16186393.0
2024-01-10,0.434,0.4746,0.4194,0.4656,20847565.0
2024-01-11,0.4653,0.4925,0.4618,0.485,24789101.0
2024-01-12,0.4849,0.4962,0.4417,0.4619,22658082.0
2024-01-13,0.4624,0.4792,0.4466,0.468,11301313.0
2024-01-14,0.468,0.4685,0.4442,0.4456,11196166.0
2024-01-15,0.4458,0.4613,0.4452,0.4513,7985541.0
2024-01-16,0.4515,0.4673,0.4485,0.463,11318388.0
2024-01-17,0.463,0.4698,0.4523,0.4628,10017130.0
2024-01-18,0.4629,0.471,0.4287,0.4402,14707653.0
2024-01-19,0.4405,0.4781,0.4277,0.4697,39318927.0
2024-01-20,0.4698,0.4818,0.4585,0.4741,18473650.0
2024-01-21,0.4739,0.4923,0.4694,0.476,14538204.0
2024-01-22,0.476,0.4793,0.4377,0.4428,16446191.0
2024-01-23,0.4427,0.4488,0.4064,0.426,21775763.0
2024-01-24,0.4259,0.4459,0.4212,0.4396,11160801.0
2024-01-25,0.4397,0.4402,0.4256,0.4334,8004863.0
2024-01-26,0.4331,0.4519,0.4285,0.4508,8912270.0
2024-01-27,0.4509,0.4562,0.4422,0.4545,6823205.0
2024-01-28,0.4545,0.4635,0.4414,0.4455,9888334.0
2024-01-29,0.4456,0.4606,0.4392,0.4592,9695096.0
2024-01-30,0.4593,0.4615,0.4425,0.4451,11242878.0
2024-01-31,0.4451,0.4476,0.4278,0.4319,11842730.0
2024-02-01,0.4317,0.4369,0.4231,0.4356,9274736.0
2024-02-02,0.4357,0.4469,0.4332,0.4411,6233714.0
2024-02-03,0.4411,0.4448,0.4349,0.4396,4380061.0
2024-02-04,0.4396,0.4401,0.4288,0.4308,4874185.0
2024-02-05,0.4307,0.4408,0.4241,0.4347,5865521.0
2024-02-06,0.4348,0.4396,0.4293,0.4314,9915370.0
2024-02-07,0.4315,0.4489,0.424,0.4458,9116799.0
2024-02-08,0.4459,0.4539,0.4412,0.4493,10504144.0
2024-02-09,0.4494,0.4686,0.449,0.4671,13611841.0
2024-02-10,0.4672,0.475,0.4605,0.4614,10512288.0
2024-02-11,0.4614,0.4733,0.4597,0.4703,7906454.0
2024-02-12,0.4703,0.4913,0.461,0.4831,21139754.0
2024-02-13,0.4832,0.4862,0.4573,0.4682,15068884.0
2024-02-14,0.4682,0.4892,0.4654,0.4865,12777597.0
2024-02-15,0.4865,0.5061,0.4818,0.504,21668687.0
2024-02-16,0.5041,0.513,0.4863,0.4979,15897328.0
2024-02-17,0.4979,0.519,0.477,0.4874,18684718.0
2024-02-18,0.4873,0.51,0.485,0.5039,16446069.0
