date,open,high,low,close,volume
2023-04-15,0.1337,0.134,0.1312,0.1333,59290439.0
2023-04-16,0.1332,0.1388,0.1315,0.1383,102321523.0
2023-04-17,0.1383,0.1398,0.1342,0.1353,148037335.0
2023-04-18,0.1353,0.139,0.1346,0.1377,86832626.0
2023-04-19,0.1377,0.1426,0.1274,0.1303,310078748.0
2023-04-20,0.1302,0.1328,0.126,0.128,119190634.0
2023-04-21,0.1279,0.1291,0.1172,0.1198,137328646.0
2023-04-22,0.1197,0.1227,0.1184,0.1226,53772760.0
2023-04-23,0.1226,0.1228,0.1165,0.12,76268357.0
2023-04-24,0.1201,0.1243,0.1178,0.1232,93133733.0
2023-04-25,0.1231,0.1291,0.1227,0.1287,147265474.0
2023-04-26,0.1287,0.1314,0.12,0.1276,144581120.0
2023-04-27,0.1275,0.13,0.1258,0.1288,75305374.0
2023-04-28,0.1288,0.1305,0.1262,0.1276,63338061.0
2023-04-29,0.1277,0.1286,0.1262,0.1277,29131461.0
2023-04-30,0.1277,0.1287,0.1257,0.1263,57218294.0
2023-05-01,0.1264,0.1298,0.1226,0.1277,126374939.0
2023-05-02,0.1277,0.1285,0.1237,0.127,50840001.0
2023-05-03,0.1271,0.1306,0.1238,0.1302,91743893.0
2023-05-04,0.1303,0.1313,0.127,0.1295,53327867.0
2023-05-05,0.1296,0.1317,0.1262,0.1307,63387938.0
2023-05-06,0.1306,0.1319,0.1236,0.1251,66849065.0
2023-05-07,0.1251,0.128,0.124,0.1251,36701968.0
2023-05-08,0.125,0.1253,0.1107,0.1132,145972411.0
2023-05-09,0.1133,0.1155,0.1119,0.1127,96555252.0
2023-05-10,0.1127,0.1138,0.105,0.1108,246138390.0
2023-05-11,0.1108,0.1108,0.104,0.1066,91390006.0
2023-05-12,0.1067,0.1076,0.1026,0.1075,78535894.0
2023-05-13,0.1075,0.1076,0.105,0.1058,38357916.0
2023-05-14,0.1058,0.1076,0.1048,0.1069,28170944.0
2023-05-15,0.1069,0.1087,0.1055,0.1075,40623141.0
2023-05-16,0.1075,0.1094,0.1064,0.1076,50593589.0
2023-05-17,0.1077,0.1108,0.1052,0.1083,84996226.0
2023-05-18,0.1083,0.1087,0.1045,0.107,58606314.0
2023-05-19,0.1071,0.1082,0.1061,0.1076,35322157.0
2023-05-20,0.1076,0.1076,0.1062,0.1071,16960361.0
2023-05-21,0.1071,0.1075,0.1036,0.1045,30114370.0
2023-05-22,0.1046,0.106,0.1023,0.1048,39532494.0
2023-05-23,0.1048,0.1064,0.1039,0.1047,28740819.0
2023-05-24,0.1048,0.1048,0.0981,0.1007,72255916.0
2023-05-25,0.1007,0.1014,0.0979,0.0991,61149499.0
2023-05-26,0.0991,0.1004,0.098,0.0995,53289571.0
2023-05-27,0.0995,0.101,0.0991,0.1007,28068689.0
2023-05-28,0.1008,0.1035,0.1003,0.1029,47447061.0
2023-05-29,0.103,0.1042,0.0999,0.1008,68622715.0
2023-05-30,0.1007,0.1014,0.0997,0.1002,42083460.0
2023-05-31,0.1002,0.1009,0.0971,0.0988,56934607.0
2023-06-01,0.0989,0.1022,0.0973,0.0998,77408611.0
2023-06-02,0.0999,0.1025,0.0994,0.1006,77411591.0
2023-06-03,0.1006,0.1022,0.0998,0.1018,42547004.0
2023-06-04,0.1018,0.1034,0.1007,0.101,42202657.0
2023-06-05,0.101,0.101,0.085,0.0935,181389711.0
2023-06-06,0.0935,0.0958,0.0913,0.0945,85806754.0
2023-06-07,0.0945,0.0946,0.0855,0.0863,100130008.0
2023-06-08,0.0862,0.0883,0.0848,0.0874,59872191.0
2023-06-09,0.0873,0.0887,0.0856,0.0871,43699554.0
2023-06-10,0.0871,0.0873,0.0585,0.0687,480717582.0
2023-06-11,0.0688,0.0699,0.0672,0.0681,103294226.0
2023-06-12,0.0681,0.0682,0.0652,0.0676,94743194.0
2023-06-13,0.0676,0.0694,0.0665,0.0683,73382071.0
2023-06-14,0.0684,0.0687,0.0635,0.0654,72619623.0
