date,open,high,low,close,volume
2023-04-15,0.405,0.4259,0.3912,0.4072,133914759.0
2023-04-16,0.4072,0.4124,0.3947,0.4053,73533756.0
2023-04-17,0.4052,0.448,0.3915,0.4262,156038088.0
2023-04-18,0.4262,0.4446,0.4108,0.4245,92941512.0
2023-04-19,0.4246,0.4281,0.3645,0.373,96969302.0
2023-04-20,0.373,0.3813,0.351,0.3641,76782915.0
2023-04-21,0.3639,0.3671,0.329,0.3333,67026978.0
2023-04-22,0.3333,0.3483,0.3292,0.3481,28417291.0
2023-04-23,0.348,0.3481,0.3238,0.3354,35267293.0
2023-04-24,0.3354,0.345,0.3247,0.3319,34615425.0
2023-04-25,0.3319,0.3478,0.3186,0.3448,41611509.0
2023-04-26,0.3448,0.3632,0.311,0.3341,88956605.0
2023-04-27,0.3342,0.348,0.3294,0.344,55472544.0
2023-04-28,0.3439,0.3474,0.3301,0.3329,33445792.0
2023-04-29,0.3329,0.3478,0.3315,0.341,27918552.0
2023-04-30,0.341,0.3411,0.3264,0.3272,28744009.0
2023-05-01,0.3274,0.3304,0.3134,0.3184,35841025.0
2023-05-02,0.3183,0.3212,0.3112,0.3187,23953321.0
2023-05-03,0.3187,0.3287,0.2989,0.325,51493255.0
2023-05-04,0.325,0.326,0.307,0.3103,24973819.0
2023-05-05,0.3102,0.3136,0.2993,0.3103,31426604.0
2023-05-06,0.3103,0.3136,0.277,0.2879,53326902.0
2023-05-07,0.2881,0.2984,0.2868,0.2897,26239589.0
2023-05-08,0.2898,0.293,0.2416,0.2597,63899970.0
2023-05-09,0.2596,0.2649,0.2474,0.2633,49100258.0
2023-05-10,0.2632,0.2736,0.2465,0.2626,72497770.0
2023-05-11,0.2627,0.2629,0.2329,0.2414,49909320.0
2023-05-12,0.2414,0.2468,0.2275,0.2453,50330447.0
2023-05-13,0.2453,0.246,0.2367,0.2381,25352168.0
2023-05-14,0.238,0.2474,0.2329,0.2414,21707908.0
2023-05-15,0.2413,0.2536,0.2351,0.2464,41311978.0
2023-05-16,0.2463,0.2489,0.2391,0.2446,35274398.0
2023-05-17,0.2447,0.2606,0.2365,0.2569,44416282.0
2023-05-18,0.2569,0.2589,0.241,0.2468,37443993.0
2023-05-19,0.2467,0.2842,0.2419,0.265,173819173.0
2023-05-20,0.265,0.2667,0.254,0.2588,70676094.0
2023-05-21,0.2589,0.259,0.24,0.243,55040599.0
2023-05-22,0.243,0.2452,0.2344,0.2394,43763573.0
2023-05-23,0.2395,0.2485,0.2369,0.2452,41604930.0
2023-05-24,0.2452,0.2453,0.22,0.2315,60268042.0
2023-05-25,0.2316,0.247,0.2231,0.237,95327798.0
2023-05-26,0.237,0.25,0.2305,0.2453,77061615.0
2023-05-27,0.2452,0.2637,0.2416,0.255,89773447.0
2023-05-28,0.255,0.2725,0.2533,0.2681,82895728.0
2023-05-29,0.2681,0.2708,0.256,0.2607,43054819.0
2023-05-30,0.2607,0.2843,0.2566,0.2765,84890149.0
2023-05-31,0.2764,0.2896,0.2585,0.2639,72552861.0
2023-06-01,0.2639,0.2698,0.253,0.2626,53480251.0
2023-06-02,0.2626,0.2795,0.2574,0.2731,54792369.0
2023-06-03,0.2732,0.2751,0.2653,0.2685,22952819.0
2023-06-04,0.2685,0.2797,0.2651,0.2708,26161132.0
2023-06-05,0.2708,0.2719,0.2253,0.241,69980745.0
2023-06-06,0.2412,0.2518,0.2327,0.246,39636526.0
2023-06-07,0.2459,0.2477,0.2256,0.2288,48679183.0
2023-06-08,0.2287,0.2322,0.2218,0.2276,26816459.0
2023-06-09,0.2276,0.23,0.2159,0.2191,28953420.0
2023-06-10,0.2193,0.2197,0.1722,0.188,93235305.0
2023-06-11,0.1881,0.1898,0.1791,0.183,42313518.0
2023-06-12,0.1829,0.1898,0.1758,0.1852,41300578.0
2023-06-13,0.1852,0.1946,0.1829,0.1896,58392945.0
2023-06-14,0.1896,0.1931,0.1762,0.1798,36410283.0
2023-06-15,0.1798,0.1887,0.1728,0.1822,39458717.0
2023-06-16,0.1823,0.1955,0.1804,0.1906,52221449.0
2023-06-17,0.1907,0.2007,0.1889,0.1976,30805626.0
2023-06-18,0.1977,0.1977,0.1796,0.183,40434023.0
2023-06-19,0.183,0.1932,0.181,0.1896,39361579.0
2023-06-20,0.1897,0.1998,0.1821,0.1997,44418359.0
2023-06-21,0.1997,0.229,0.1989,0.222,96692530.0
2023-06-22,0.222,0.2542,0.2217,0.2286,133292761.0
2023-06-23,0.2287,0.2492,0.2286,0.2381,74330290.0
