date,open,high,low,close,volume
2023-04-15,0.2273,0.2284,0.2223,0.2251,11852682.0
2023-04-16,0.225,0.2299,0.2209,0.2289,9779227.0
2023-04-17,0.2289,0.2297,0.2195,0.2235,11475023.0
2023-04-18,0.2235,0.2298,0.221,0.2285,8337672.0
2023-04-19,0.2284,0.229,0.2028,0.2075,19174614.0
2023-04-20,0.2075,0.2114,0.2017,0.2081,13320973.0
2023-04-21,0.2082,0.2106,0.1964,0.2,14582984.0
2023-04-22,0.1999,0.2033,0.1976,0.2029,4888704.0
2023-04-23,0.2028,0.2028,0.1949,0.1996,6737922.0
2023-04-24,0.1996,0.2015,0.1944,0.1997,8831588.0
2023-04-25,0.1998,0.2028,0.1931,0.2019,9255113.0
2023-04-26,0.2019,0.2076,0.1877,0.1974,14578134.0
2023-04-27,0.1974,0.2039,0.1958,0.2013,10248170.0
2023-04-28,0.2013,0.2017,0.1963,0.2001,7229643.0
2023-04-29,0.2002,0.2029,0.1989,0.2012,6514733.0
2023-04-30,0.2011,0.203,0.1968,0.1972,5621397.0
2023-05-01,0.1971,0.1986,0.19,0.1933,8718481.0
2023-05-02,0.1933,0.1958,0.1912,0.1957,7270441.0
2023-05-03,0.1957,0.2007,0.19,0.1996,10621110.0
2023-05-04,0.1995,0.2005,0.1937,0.1954,8597634.0
2023-05-05,0.1955,0.2002,0.1948,0.1992,6505653.0
2023-05-06,0.1992,0.2002,0.1898,0.1921,7215880.0
2023-05-07,0.192,0.1943,0.1901,0.1918,3148343.0
2023-05-08,0.1917,0.1931,0.1728,0.1803,12778135.0
2023-05-09,0.1802,0.1849,0.1777,0.1796,14130374.0
2023-05-10,0.1796,0.1838,0.1715,0.1801,10908643.0
2023-05-11,0.1802,0.1803,0.1734,0.1766,6900861.0
2023-05-12,0.1767,0.1792,0.1718,0.1792,6459259.0
2023-05-13,0.1792,0.1795,0.1752,0.1765,3910678.0
2023-05-14,0.1765,0.1788,0.1751,0.177,3621861.0
2023-05-15,0.177,0.1832,0.1744,0.1799,7644887.0
2023-05-16,0.1799,0.1819,0.1777,0.1814,5963868.0
2023-05-17,0.1815,0.186,0.1785,0.1845,8034444.0
2023-05-18,0.1846,0.1855,0.1801,0.1823,7784883.0
2023-05-19,0.1822,0.184,0.1806,0.1821,13118860.0
2023-05-20,0.1822,0.1841,0.1773,0.1785,13870991.0
2023-05-21,0.1786,0.1791,0.1742,0.1764,8273512.0
2023-05-22,0.1761,0.1846,0.1738,0.1836,15333362.0
2023-05-23,0.1838,0.1928,0.1829,0.1908,15357470.0
2023-05-24,0.1908,0.1922,0.185,0.19,15745186.0
2023-05-25,0.1901,0.1942,0.186,0.1939,11241297.0
2023-05-26,0.1938,0.1966,0.192,0.1927,8370899.0
2023-05-27,0.1927,0.203,0.1914,0.1968,7465229.0
2023-05-28,0.1968,0.2048,0.1964,0.202,9525128.0
2023-05-29,0.2021,0.211,0.1992,0.2099,17925730.0
2023-05-30,0.21,0.2266,0.2013,0.2014,34443898.0
2023-05-31,0.2012,0.2051,0.1947,0.1996,25516916.0
2023-06-01,0.1996,0.2072,0.1978,0.1997,20789625.0
2023-06-02,0.1997,0.2023,0.1954,0.2001,13955982.0
2023-06-03,0.2001,0.2091,0.1983,0.2066,17127937.0
2023-06-04,0.2065,0.2086,0.2019,0.2035,13554420.0
2023-06-05,0.2034,0.2054,0.1786,0.1839,20095757.0
2023-06-06,0.184,0.1887,0.1753,0.1865,21223625.0
2023-06-07,0.1865,0.1865,0.1767,0.1801,11156254.0
2023-06-08,0.1799,0.1829,0.177,0.1795,7480561.0
2023-06-09,0.1796,0.1809,0.1748,0.1765,10736654.0
2023-06-10,0.1767,0.177,0.1353,0.1575,35733018.03
2023-06-11,0.1576,0.1595,0.1538,0.1586,9733369.0
2023-06-12,0.1585,0.1596,0.153,0.1586,10387389.0
2023-06-13,0.1586,0.1611,0.1547,0.1561,9959300.0
2023-06-14,0.1561,0.1589,0.1481,0.1526,8457836.0
2023-06-15,0.1526,0.1548,0.1469,0.153,9777915.0
2023-06-16,0.1531,0.159,0.1506,0.1577,5858469.0
2023-06-17,0.1577,0.1637,0.1565,0.1588,5137601.0
2023-06-18,0.1589,0.162,0.1567,0.1583,2974060.0
2023-06-19,0.1584,0.1614,0.1564,0.1586,8187912.0
2023-06-20,0.1586,0.1655,0.1567,0.1648,8012379.0
2023-06-21,0.1648,0.1733,0.1641,0.1719,9793533.0
2023-06-22,0.1719,0.1765,0.1674,0.1695,9817705.0
2023-06-23,0.1696,0.1803,0.1696,0.1795,7985146.0
2023-06-24,0.1795,0.1835,0.1759,0.1808,6366509.0
2023-06-25,0.1808,0.1871,0.1788,0.1821,7074560.0
2023-06-26,0.1823,0.1866,0.1763,0.18,10681430.0
2023-06-27,0.1802,0.2062,0.1794,0.1838,25224524.0
2023-06-28,0.1838,0.184,0.1681,0.1742,10573080.0
2023-06-29,0.1743,0.1786,0.174,0.1777,4737451.0
2023-06-30,0.1779,0.1851,0.1686,0.1824,13958902.0
2023-07-01,0.1825,0.1864,0.1809,0.1864,5572872.0
2023-07-02,0.1865,0.1868,0.1789,0.1841,3852741.0
2023-07-03,0.184,0.1874,0.1826,0.186,6838275.0
2023-07-04,0.1863,0.1916,0.1838,0.1857,5919888.0
2023-07-05,0.186,0.1911,0.1803,0.1836,7589754.0
2023-07-06,0.1834,0.1902,0.1766,0.1787,7265393.0
2023-07-07,0.1786,0.1838,0.1763,0.1823,4762086.0
2023-07-08,0.1824,0.1838,0.1785,0.1816,3360487.0
2023-07-09,0.1816,0.1829,0.1797,0.1814,3019536.0
2023-07-10,0.1814,0.1832,0.1756,0.1784,4819563.0
2023-07-11,0.1786,0.181,0.1766,0.1809,3217164.0
2023-07-12,0.1808,0.1849,0.1779,0.1805,7056814.0
2023-07-13,0.1805,0.195,0.1793,0.1945,10879830.0
2023-07-14,0.1945,0.1962,0.1798,0.1886,13337185.0
2023-07-15,0.1886,0.1958,0.1871,0.1922,6608580.0
2023-07-16,0.1924,0.1968,0.1882,0.1898,8654323.0
2023-07-17,0.1899,0.197,0.1848,0.1933,9142000.0
2023-07-18,0.1935,0.1941,0.1822,0.1846,7289101.0
2023-07-19,0.1847,0.1871,0.1808,0.1841,6492299.0
2023-07-20,0.184,0.1889,0.1804,0.1837,6336647.0
2023-07-21,0.1837,0.1857,0.1815,0.1844,3158747.0
2023-07-22,0.1845,0.1867,0.1828,0.1848,2988524.0
2023-07-23,0.1847,0.1883,0.1836,0.1868,3740555.0
2023-07-24,0.1872,0.1875,0.1766,0.1779,7808582.0
2023-07-25,0.1779,0.1783,0.1724,0.1744,5730949.0
2023-07-26,0.1743,0.1761,0.1698,0.1741,5838601.0
2023-07-27,0.1743,0.1758,0.1719,0.174,3168042.0
2023-07-28,0.1741,0.1758,0.172,0.1756,2962833.0
2023-07-29,0.1756,0.1813,0.1747,0.1795,2930177.0
2023-07-30,0.1794,0.1807,0.1708,0.1744,3564217.0
2023-07-31,0.1742,0.1763,0.1714,0.1739,1933473.0
2023-08-01,0.1741,0.1779,0.1687,0.1767,5214771.0
